name, first set, first rarity, first date, earliest non-common set, earliest non-common rarity, earliest non-common date, downshift set, downshift rarity, downshift date
Pitfall Trap, Zendikar, uncommon, 2009-10-02, Zendikar, uncommon, 2009-10-02, Modern Masters 2017, common, 2017-03-17,
Ghoul's Feast, Mercadian Masques, uncommon, 1999-10-04, Mercadian Masques, uncommon, 1999-10-04, Jumpstart 2022, common, 2022-12-02,
Demogorgon's Clutches, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Adventures in the Forgotten Realms, uncommon, 2021-07-23, Alchemy Horizons: Baldur's Gate, common, 2022-07-07,
Giant Badger, HarperPrism Book Promos, rare, 1995-03-01, HarperPrism Book Promos, rare, 1995-03-01, Eighth Edition, common, 2003-07-28,
Terminal Moraine, Planeshift, uncommon, 2001-02-05, Planeshift, uncommon, 2001-02-05, Dominaria Remastered, common, 2023-01-13,
Webweaver Changeling, Modern Horizons, uncommon, 2019-06-14, Modern Horizons, uncommon, 2019-06-14, Double Masters 2022, common, 2022-07-08,
Ironhoof Ox, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Masters Edition IV, common, 2011-01-10,
Soltari Emissary, Tempest, rare, 1997-10-14, Tempest, rare, 1997-10-14, Vintage Masters, common, 2014-06-16,
Scavenger Folk, The Dark, common, 1994-08-01, Seventh Edition, uncommon, 2001-04-11, Masters Edition IV, common, 2011-01-10,
Moss Diamond, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Commander Legends, common, 2020-11-20,
Foil, Prophecy, uncommon, 2000-06-05, Prophecy, uncommon, 2000-06-05, Ultimate Masters, common, 2018-12-07,
Snow-Covered Swamp, Ice Age, common, 1995-06-03, Secret Lair Drop, rare, 2019-12-04, Kaldheim, common, 2021-02-05,
Wrecking Ball, Dissension, common, 2006-05-05, Modern Masters 2015, uncommon, 2015-05-22, Commander Anthology, common, 2017-06-09,
Iron League Steed, Kaladesh, uncommon, 2016-09-30, Kaladesh, uncommon, 2016-09-30, Double Masters, common, 2020-08-07,
Campfire, Commander Legends: Battle for Baldur's Gate, uncommon, 2022-06-10, Commander Legends: Battle for Baldur's Gate, uncommon, 2022-06-10, Commander Masters, common, 2023-08-04,
Goblin Firestarter, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Masters Edition IV, common, 2011-01-10,
Freed from the Real, Saviors of Kamigawa, common, 2005-06-03, Masters 25, uncommon, 2018-03-16, The List, common, 2024-08-02,
Shu Elite Companions, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Nissa's Pilgrimage, Magic Origins, common, 2015-07-17, Friday Night Magic 2016, rare, 2016-01-01, Magic Online Promos, common, 2016-02-01,
Draconic Roar, Dragons of Tarkir, uncommon, 2015-03-27, Dragons of Tarkir, uncommon, 2015-03-27, Iconic Masters, common, 2017-11-17,
Lyev Skyknight, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Double Masters 2022, common, 2022-07-08,
Myr Enforcer, Mirrodin, common, 2003-10-02, Friday Night Magic 2009, rare, 2009-01-01, Planechase, common, 2009-09-04,
Essence Flux, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Corrupt Court Official, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Streets of New Capenna, common, 2022-04-29,
Scion of the Wild, Ravnica: City of Guilds, rare, 2005-10-07, Ravnica: City of Guilds, rare, 2005-10-07, Modern Masters 2015, common, 2015-05-22,
Crib Swap, Lorwyn, uncommon, 2007-10-12, Lorwyn, uncommon, 2007-10-12, Double Masters, common, 2020-08-07,
Surge Node, New Phyrexia, uncommon, 2011-05-13, New Phyrexia, uncommon, 2011-05-13, Double Masters, common, 2020-08-07,
Epitaph Golem, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Stupefying Touch, Torment, uncommon, 2002-02-04, Torment, uncommon, 2002-02-04, Eternal Masters, common, 2016-06-10,
Nomad Decoy, Odyssey, uncommon, 2001-10-01, Odyssey, uncommon, 2001-10-01, Dominaria Remastered, common, 2023-01-13,
Bone Flute, The Dark, uncommon, 1994-08-01, The Dark, uncommon, 1994-08-01, Masters Edition III, common, 2009-09-07,
Arrest, Mercadian Masques, uncommon, 1999-10-04, Mercadian Masques, uncommon, 1999-10-04, Mirrodin, common, 2003-10-02,
Congregate, Urza's Saga, common, 1998-10-12, Magic 2014, uncommon, 2013-07-19, Commander Anthology, common, 2017-06-09,
Phantasmal Mount, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Angel of Mercy, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Iconic Masters, common, 2017-11-17,
Fireslinger, Tempest, common, 1997-10-14, Friday Night Magic 2002, rare, 2002-01-01, Duel Decks: Jace vs. Chandra, common, 2008-11-07,
Volcanic Hammer, Portal, common, 1997-05-01, Junior Super Series, rare, 2002-01-01, Eighth Edition, common, 2003-07-28,
Sea Sprite, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition, common, 2007-09-10,
Blastoderm, Nemesis, common, 2000-02-14, Friday Night Magic 2005, rare, 2005-01-01, Duel Decks: Garruk vs. Liliana, common, 2009-10-30,
Clockwork Swarm, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition IV, common, 2011-01-10,
Tumble Magnet, Scars of Mirrodin, common, 2010-10-01, Modern Masters 2015, uncommon, 2015-05-22, Double Masters, common, 2020-08-07,
Kjeldoran Skycaptain, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Sunblade Angel, War of the Spark, uncommon, 2019-05-03, War of the Spark, uncommon, 2019-05-03, Commander Masters, common, 2023-08-04,
Pillar of Flame, Friday Night Magic 2012, rare, 2012-01-01, Friday Night Magic 2012, rare, 2012-01-01, Avacyn Restored, common, 2012-05-04,
Chronicler of Heroes, Theros, uncommon, 2013-09-27, Theros, uncommon, 2013-09-27, Double Masters 2022, common, 2022-07-08,
Repeal, Guildpact, common, 2006-02-03, Time Spiral Remastered, special, 2021-03-19, Historic Anthology 7, common, 2023-07-18,
Monastery Swiftspear, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Double Masters 2022, common, 2022-07-08,
Vulshok Battlegear, Mirrodin, uncommon, 2003-10-02, Mirrodin, uncommon, 2003-10-02, Commander Masters, common, 2023-08-04,
Psychic Impetus, Commander 2020, uncommon, 2020-04-17, Commander 2020, uncommon, 2020-04-17, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10,
Prey's Vengeance, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Iconic Masters, common, 2017-11-17,
Crusader of Odric, Magic 2013, uncommon, 2012-07-13, Magic 2013, uncommon, 2012-07-13, Double Masters, common, 2020-08-07,
Nearheath Stalker, Wizards Play Network 2012, rare, 2012-01-01, Wizards Play Network 2012, rare, 2012-01-01, Dark Ascension, common, 2012-02-03,
Dragonsoul Knight, Conflux, uncommon, 2009-02-06, Conflux, uncommon, 2009-02-06, Modern Masters 2015, common, 2015-05-22,
Spikeshot Goblin, Mirrodin, common, 2003-10-02, Masters 25, uncommon, 2018-03-16, Commander Masters, common, 2023-08-04,
Icequake, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Anarchist, Exodus, common, 1998-06-15, Ninth Edition, uncommon, 2005-07-29, Magic Online Theme Decks, common, 2010-11-08,
Test of Faith, Darksteel, uncommon, 2004-02-06, Darksteel, uncommon, 2004-02-06, Modern Masters, common, 2013-06-07,
Serrated Arrows, Homelands, common, 1995-10-01, Homelands, uncommon, 1995-10-01, Pro Tour Collector Set, common, 1996-05-01,
Apprentice Wizard, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Fourth Edition Foreign Black Border, common, 1995-04-01,
Cloud Spirit, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Stronghold, common, 1998-03-02,
Skirk Marauder, Arena League 2003, rare, 2003-01-01, Arena League 2003, rare, 2003-01-01, Legions, common, 2003-02-03,
Pick Your Poison, Mystery Booster Playtest Cards 2019, rare, 2019-11-07, Mystery Booster Playtest Cards 2019, rare, 2019-11-07, Murders at Karlov Manor, common, 2024-02-09,
Nissa's Chosen, Zendikar, common, 2009-10-02, DCI Promos, rare, 2009-10-31, Magic Online Promos, common, 2014-10-17,
Surging Flame, Arena League 2006, rare, 2006-01-01, Arena League 2006, rare, 2006-01-01, Coldsnap, common, 2006-07-21,
Sivitri Scarzam, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Fyndhorn Elves, Ice Age, common, 1995-06-03, From the Vault: Twenty, mythic, 2013-08-23, Vintage Masters, common, 2014-06-16,
Cloudpost, Mirrodin, common, 2003-10-02, Friday Night Magic 2010, rare, 2010-01-01, Magic Online Promos, common, 2013-01-11,
Fiery Temper, Torment, common, 2002-02-04, Time Spiral Timeshifted, special, 2006-10-06, Magic Online Promos, common, 2014-10-17,
Emperor Crocodile, Urza's Destiny, rare, 1999-06-07, Urza's Destiny, rare, 1999-06-07, Eternal Masters, common, 2016-06-10,
Wyluli Wolf, Arabian Nights, common, 1993-12-17, Fifth Edition, rare, 1997-03-24, Masters Edition, common, 2007-09-10,
Teetering Peaks, Zendikar, common, 2009-10-02, Friday Night Magic 2011, rare, 2011-01-01, Magic Online Promos, common, 2013-01-11,
Bound by Moonsilver, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Jace's Phantasm, Magic 2013, uncommon, 2012-07-13, Magic 2013, uncommon, 2012-07-13, Iconic Masters, common, 2017-11-17,
Quick Sliver, Legions, common, 2003-02-03, Secret Lair Drop, rare, 2022-12-16, Commander Masters, common, 2023-08-04,
Spectral Grasp, Conspiracy: Take the Crown, uncommon, 2016-08-26, Conspiracy: Take the Crown, uncommon, 2016-08-26, Commander Masters, common, 2023-08-04,
Wei Elite Companions, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Mire Triton, Theros Beyond Death, uncommon, 2020-01-24, Theros Beyond Death, uncommon, 2020-01-24, Commander Masters, common, 2023-08-04,
Cursed Rack, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Renaissance, common, 1995-08-01,
Shield Sphere, Alliances, uncommon, 1996-06-10, Alliances, uncommon, 1996-06-10, Masters Edition, common, 2007-09-10,
Jedit Ojanen, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Tazeem, Planechase Promos, rare, 2009-09-04, Planechase Promos, rare, 2009-09-04, Planechase Anthology Planes, common, 2018-12-25,
Curse of the Bloody Tome, Innistrad, common, 2011-09-30, Wizards Play Network 2011, rare, 2011-09-30, Magic Online Promos, common, 2014-10-17,
Rally the Peasants, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Eternal Masters, common, 2016-06-10,
Virulent Swipe, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Iconic Masters, common, 2017-11-17,
Cartel Aristocrat, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Double Masters 2022, common, 2022-07-08,
Traitorous Instinct, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Return to Ravnica, common, 2012-10-05,
Skirk Drill Sergeant, Legions, uncommon, 2003-02-03, Legions, uncommon, 2003-02-03, Vintage Masters, common, 2014-06-16,
Cinder Storm, Starter 1999, uncommon, 1999-07-01, Starter 1999, uncommon, 1999-07-01, Masters 25, common, 2018-03-16,
Bloodwater Entity, Hour of Devastation, uncommon, 2017-07-14, Hour of Devastation, uncommon, 2017-07-14, Double Masters 2022, common, 2022-07-08,
Dampen Thought, Champions of Kamigawa, uncommon, 2004-10-01, Champions of Kamigawa, uncommon, 2004-10-01, Modern Masters, common, 2013-06-07,
Loyal Sentry, Starter 1999, rare, 1999-07-01, Starter 1999, rare, 1999-07-01, Masters 25, common, 2018-03-16,
Skysnare Spider, Magic Origins, uncommon, 2015-07-17, Magic Origins, uncommon, 2015-07-17, Commander Masters, common, 2023-08-04,
Foul Spirit, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Masters Edition IV, common, 2011-01-10,
Empyrial Armor, Weatherlight, common, 1997-06-09, Arena League 2001, rare, 2001-01-01, Magic Online Promos, common, 2014-10-17,
Goliath Sphinx, Worldwake, rare, 2010-02-05, Worldwake, rare, 2010-02-05, Commander Masters, common, 2023-08-04,
Anaba Ancestor, Homelands, rare, 1995-10-01, Homelands, rare, 1995-10-01, Masters Edition III, common, 2009-09-07,
Nimble Mongoose, Odyssey, uncommon, 2001-10-01, Odyssey, uncommon, 2001-10-01, Eternal Masters, common, 2016-06-10,
Slippery Bogle, Eventide, common, 2008-07-25, Ultimate Masters, uncommon, 2018-12-07, The List, common, 2024-08-02,
Elven Rite, Stronghold, uncommon, 1998-03-02, Stronghold, uncommon, 1998-03-02, Tempest Remastered, common, 2015-05-06,
Vault Skirge, New Phyrexia, common, 2011-05-13, DCI Promos, rare, 2011-05-31, Magic Online Promos, common, 2014-10-17,
Gnarlwood Dryad, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Wu Longbowman, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Plagued Rusalka, Salvat 2005, uncommon, 2005-08-22, Salvat 2005, uncommon, 2005-08-22, Modern Masters 2015, common, 2015-05-22,
Thallid Devourer, Fallen Empires, uncommon, 1994-11-01, Fallen Empires, uncommon, 1994-11-01, Masters Edition II, common, 2008-09-22,
Naya Sojourners, Alara Reborn, common, 2009-04-30, DCI Promos, rare, 2009-05-31, Magic Online Promos, common, 2014-10-17,
Tandem Lookout, Avacyn Restored, uncommon, 2012-05-04, Avacyn Restored, uncommon, 2012-05-04, Modern Masters 2017, common, 2017-03-17,
Coal Golem, The Dark, uncommon, 1994-08-01, The Dark, uncommon, 1994-08-01, Masters Edition III, common, 2009-09-07,
Icatian Javelineers, Fallen Empires, common, 1994-11-01, Time Spiral Timeshifted, special, 2006-10-06, Masters Edition II, common, 2008-09-22,
Carnophage, Exodus, common, 1998-06-15, Friday Night Magic 2001, rare, 2001-01-01, Vintage Masters, common, 2014-06-16,
Devout Witness, Mercadian Masques, common, 1999-10-04, Vintage Masters, uncommon, 2014-06-16, The List, common, 2024-08-02,
Oasis, Arabian Nights, uncommon, 1993-12-17, Arabian Nights, uncommon, 1993-12-17, Masters Edition IV, common, 2011-01-10,
Rapacious One, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Commander Masters, common, 2023-08-04,
Hana Kami, Champions of Kamigawa, uncommon, 2004-10-01, Champions of Kamigawa, uncommon, 2004-10-01, Modern Masters, common, 2013-06-07,
Otherworldly Journey, Champions of Kamigawa, uncommon, 2004-10-01, Champions of Kamigawa, uncommon, 2004-10-01, Modern Masters, common, 2013-06-07,
Sustainer of the Realm, Urza's Legacy, uncommon, 1999-02-15, Urza's Legacy, uncommon, 1999-02-15, Iconic Masters, common, 2017-11-17,
Sinister Sabotage, Guilds of Ravnica Promos, uncommon, 2018-10-05, Guilds of Ravnica Promos, uncommon, 2018-10-05, Ravnica Remastered, common, 2024-01-12,
Pegasus Guardian // Rescue the Foal, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10, Alchemy Horizons: Baldur's Gate, uncommon, 2022-07-07, The List, common, 2024-08-02,
Lotus-Eye Mystics, Fate Reforged, uncommon, 2015-01-23, Fate Reforged, uncommon, 2015-01-23, Ultimate Masters, common, 2018-12-07,
Plots That Span Centuries, DCI Promos, rare, 2010-09-30, DCI Promos, rare, 2010-09-30, Duskmourn: House of Horror Commander, common, 2024-09-27,
Fireblade Artist, Ravnica Allegiance, uncommon, 2019-01-25, Ravnica Allegiance, uncommon, 2019-01-25, Double Masters 2022, common, 2022-07-08,
Blazing Torch, Zendikar, uncommon, 2009-10-02, Zendikar, uncommon, 2009-10-02, Innistrad, common, 2011-09-30,
Steward of Valeron, Shards of Alara, common, 2008-10-03, URL/Convention Promos, rare, 2009-01-01, Duel Decks: Knights vs. Dragons, common, 2011-04-01,
Seal of Removal, Nemesis, common, 2000-02-14, Modern Horizons 2, uncommon, 2021-06-18, The List, common, 2024-08-02,
Trip Wire, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Dauthi Mercenary, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Vintage Masters, common, 2014-06-16,
Strider Harness, Scars of Mirrodin, common, 2010-10-01, Oath of the Gatewatch, uncommon, 2016-01-22, Rivals of Ixalan, common, 2018-01-19,
Chatter of the Squirrel, Odyssey, common, 2001-10-01, Secret Lair Drop, rare, 2020-11-30, The List, common, 2021-06-19,
Flux, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Weatherlight, common, 1997-06-09,
Drift of the Dead, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Gitaxian Probe, New Phyrexia, common, 2011-05-13, Friday Night Magic 2012, rare, 2012-01-01, Magic Online Promos, common, 2013-03-07,
Serra Bestiary, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition IV, common, 2011-01-10,
Galestrike, Amonkhet, uncommon, 2017-04-28, Amonkhet, uncommon, 2017-04-28, Commander Legends, common, 2020-11-20,
Rush of Knowledge, Scourge, common, 2003-05-26, Double Masters, uncommon, 2020-08-07, The List, common, 2024-08-02,
Bull Elephant, Multiverse Gift Box, rare, 1996-11-01, Multiverse Gift Box, rare, 1996-11-01, Visions, common, 1997-02-03,
Flame Spirit, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Classic Sixth Edition, common, 1999-04-21,
Icatian Phalanx, Fallen Empires, uncommon, 1994-11-01, Fallen Empires, uncommon, 1994-11-01, Masters Edition II, common, 2008-09-22,
Skyshaper, Exodus, uncommon, 1998-06-15, Exodus, uncommon, 1998-06-15, Tempest Remastered, common, 2015-05-06,
Roterothopter, Homelands, common, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition II, common, 2008-09-22,
Atog, Antiquities, common, 1994-03-04, Fifth Edition, uncommon, 1997-03-24, Masters Edition IV, common, 2011-01-10,
Syphon Life, Eventide, uncommon, 2008-07-25, Eventide, uncommon, 2008-07-25, Modern Masters, common, 2013-06-07,
Spike Jester, Dragon's Maze, uncommon, 2013-05-03, Dragon's Maze, uncommon, 2013-05-03, Modern Masters 2017, common, 2017-03-17,
Jackal Pup, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Masters 25, common, 2018-03-16,
Squadron Hawk, Magic 2011, common, 2010-07-16, Friday Night Magic 2011, rare, 2011-01-01, Magic Online Promos, common, 2013-01-11,
Wild Hunger, Dark Ascension, common, 2012-02-03, Ultimate Masters, uncommon, 2018-12-07, The List, common, 2024-08-02,
Argivian Restoration, Weatherlight, uncommon, 1997-06-09, Weatherlight, uncommon, 1997-06-09, Double Masters, common, 2020-08-07,
Rat Colony, Dominaria, common, 2018-04-27, Secret Lair Drop, rare, 2020-01-27, The List, common, 2022-02-18,
Skittering Skirge, Urza's Saga, common, 1998-10-12, Arena League 1999, rare, 1999-01-01, Beatdown Box Set, common, 2000-10-01,
Wicked Reward, Multiverse Gift Box, rare, 1996-11-01, Multiverse Gift Box, rare, 1996-11-01, Visions, common, 1997-02-03,
Stonehorn Dignitary, Magic 2012, common, 2011-07-15, Time Spiral Remastered, special, 2021-03-19, The List, common, 2024-08-02,
Tangle, Invasion, uncommon, 2000-10-02, Invasion, uncommon, 2000-10-02, Vintage Masters, common, 2014-06-16,
Nameless Inversion, Lorwyn, common, 2007-10-12, Magic Player Rewards 2009, rare, 2009-01-01, Magic Online Promos, common, 2014-10-17,
Arena Athlete, Theros, uncommon, 2013-09-27, Theros, uncommon, 2013-09-27, Ultimate Masters, common, 2018-12-07,
Knights of Thorn, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Masters Edition, common, 2007-09-10,
Muscle Sliver, Tempest, common, 1997-10-14, Friday Night Magic 2003, rare, 2003-01-01, Premium Deck Series: Slivers, common, 2009-11-20,
Elephant Guide, Judgment, uncommon, 2002-05-27, Judgment, uncommon, 2002-05-27, Vintage Masters, common, 2014-06-16,
River Merfolk, Fallen Empires, rare, 1994-11-01, Fallen Empires, rare, 1994-11-01, Masters Edition, common, 2007-09-10,
Crash of Rhino Beetles, Commander 2018, rare, 2018-08-09, Commander 2018, rare, 2018-08-09, Commander Masters, common, 2023-08-04,
Fierce Retribution, Innistrad: Crimson Vow, common, 2021-11-19, Breaking News, uncommon, 2024-04-19, The List, common, 2024-08-02,
Incendiary Flow, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Hollowhenge Scavenger, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Shadows of the Past, common, 2023-03-21,
Staggershock, Rise of the Eldrazi, common, 2010-04-23, DCI Promos, rare, 2010-05-31, Magic Online Promos, common, 2013-01-11,
Guardian Idol, Fifth Dawn, uncommon, 2004-06-04, Fifth Dawn, uncommon, 2004-06-04, Iconic Masters, common, 2017-11-17,
Sir Shandlar of Eberyn, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Mnemonic Sliver, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Maul Splicer, New Phyrexia, common, 2011-05-13, DCI Promos, rare, 2011-05-31, Magic Online Promos, common, 2014-10-17,
Skeletonize, Shards of Alara, uncommon, 2008-10-03, Shards of Alara, uncommon, 2008-10-03, Masters 25, common, 2018-03-16,
Demonic Torment, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Purphoros's Emissary, Theros, uncommon, 2013-09-27, Theros, uncommon, 2013-09-27, Double Masters 2022, common, 2022-07-08,
Lightning Blow, Ice Age, rare, 1995-06-03, Ice Age, rare, 1995-06-03, Masters Edition III, common, 2009-09-07,
Desperate Charge, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Citanul Druid, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Masters Edition IV, common, 2011-01-10,
Jaddi Offshoot, Battle for Zendikar, uncommon, 2015-10-02, Battle for Zendikar, uncommon, 2015-10-02, Iconic Masters, common, 2017-11-17,
Sol Grail, Alliances, uncommon, 1996-06-10, Alliances, uncommon, 1996-06-10, Masters Edition III, common, 2009-09-07,
Sylvan Might, Odyssey, uncommon, 2001-10-01, Odyssey, uncommon, 2001-10-01, Eternal Masters, common, 2016-06-10,
Elven Lyre, Fallen Empires, rare, 1994-11-01, Fallen Empires, rare, 1994-11-01, Masters Edition II, common, 2008-09-22,
Symbiotic Beast, Onslaught, uncommon, 2002-10-07, Onslaught, uncommon, 2002-10-07, Dominaria Remastered, common, 2023-01-13,
Destroy Evil, Dominaria United, common, 2022-09-09, 30th Anniversary Celebration Tokyo, rare, 2023-09-01, The List, common, 2024-08-02,
Wall of Kelp, Homelands, rare, 1995-10-01, Homelands, rare, 1995-10-01, Masters Edition II, common, 2008-09-22,
Wall of Light, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Magma Spray, Shards of Alara, common, 2008-10-03, Friday Night Magic 2014, rare, 2014-01-01, Journey into Nyx, common, 2014-05-02,
Vessel of Endless Rest, Avacyn Restored, uncommon, 2012-05-04, Avacyn Restored, uncommon, 2012-05-04, Ultimate Masters, common, 2018-12-07,
Supply Runners, Jumpstart, uncommon, 2020-07-17, Jumpstart, uncommon, 2020-07-17, Commander Masters, common, 2023-08-04,
Night Soil, Fallen Empires, common, 1994-11-01, Masters Edition II, uncommon, 2008-09-22, Commander 2013, common, 2013-11-01,
The Lady of the Mountain, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Darkness, Legends, common, 1994-06-01, Time Spiral Timeshifted, special, 2006-10-06, Warhammer 40,000 Commander, common, 2022-10-07,
Geist of the Moors, Magic 2015, uncommon, 2014-07-18, Magic 2015, uncommon, 2014-07-18, Masters 25, common, 2018-03-16,
Mightstone, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Masters Edition IV, common, 2011-01-10,
Heavy Fog, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Fiery Cannonade, Ixalan, uncommon, 2017-09-29, Ixalan, uncommon, 2017-09-29, Commander Legends, common, 2020-11-20,
Icy Prison, Ice Age, rare, 1995-06-03, Ice Age, rare, 1995-06-03, Masters Edition II, common, 2008-09-22,
Icatian Lieutenant, Fallen Empires, rare, 1994-11-01, Fallen Empires, rare, 1994-11-01, Masters Edition, common, 2007-09-10,
Addle, Invasion, uncommon, 2000-10-02, Invasion, uncommon, 2000-10-02, Vintage Masters, common, 2014-06-16,
Living Armor, The Dark, uncommon, 1994-08-01, The Dark, uncommon, 1994-08-01, Chronicles Foreign Black Border, common, 1995-07-01,
Roots, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition, common, 2007-09-10,
Righteous Avengers, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition, common, 2007-09-10,
Kjeldoran Gargoyle, Coldsnap, uncommon, 2006-07-21, Coldsnap, uncommon, 2006-07-21, Dominaria Remastered, common, 2023-01-13,
Lady Orca, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Rootbreaker Wurm, Tempest, common, 1997-10-14, Ninth Edition, uncommon, 2005-07-29, Magic Online Theme Decks, common, 2010-11-08,
Gisa's Bidding, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Shyft, Ice Age, rare, 1995-06-03, Ice Age, rare, 1995-06-03, Masters Edition II, common, 2008-09-22,
Gravebind, Ice Age, rare, 1995-06-03, Ice Age, rare, 1995-06-03, Masters Edition IV, common, 2011-01-10,
Tidal Wave, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Eternal Masters, common, 2016-06-10,
Lesser Werewolf, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Shu Soldier-Farmers, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
